ano;emissoes;pib_per_capita;;;;;
1994;1719044668;;;;;;
1995;1889432277;;;;;;
1996;1684158492;5227;;;;;
1997;1752761693;5732;;;;;
1998;1624404072;5942;;;;;
1999;1578318586;6351;;;;;
2000;1592876080;6901;;;;;
2001;1584076595;7467;;;;;
2002;1918955900;8341;;;;;
2003;2325107060;9507;;;;;
2004;2031336648;10706;;;;;
2005;1872124175;11733;;;;;
2006;1574745458;12881;;;;;
2007;1336575857;14390;;;;;
2008;1298698263;16281;;;;;
2009;1038285916;17271;;;;;
2010;995881338;19939;;;;;
2011;1050610672;22260;;;;;
2012;1098595754;24278;;;;;
2013;1210766053;26658;;;;;
2014;1241772668;28649;;;;;
2015;1242567490;29467;;;;;
2016;1313618342;30559;;;;;
2017;1241405517;31844;;;;;
2018;1221160007;33594;;;;;
2019;1388519254;35247;;;;;
;;;;;;;
